text,class
bchandrababu  issues  strict  warning,neg
bnara  chandrababunaidu  apcm  madness  datafor  many  worksbut,neg
cm  strong  counter,pos
bcm  strong  counter  &amp  \nwatch,pos
beach  region  major  city  attract,pos
mothers  reaction  \nby  &amp  \n\nshe  feudal  mindset,neg
controversial  comments  ts  police  raids  grid  company  |,neg
bsomeone  pay  ticket  pakistan,neg
ruined  ap  shiv  bhagwan  hain  tho  modi  never  come  power,neg
totally  shameful\nthey  stole  ap  stole  ap  water\nnow  stealing,neg
even  years  anatapur  bus  stand  public  toilets  shabby  shape  one  really  bothered,neg
ycp  people  getting  ready  welcome  modiji  full  arrangements  vizag  cunning  politics  towards,pos
fear  says  accuses  opposition,neg
bwhy  andhra  pradesh  needs  special  status  remain  like  rest  states  india  front  page,pos
babuses  hatered  wont  fetch  votes  guilty  man  scared  makes  easier  jagan  mohan  reddy,pos
annadatha  sukhibhava  first  phase  amount  rs  credited  bank  accounts  farmers  andhra  pradesh,pos
loan  waived  rythu  runa  mafi  yojana  th  october  interest  two  years  third  list,pos
warns,neg
please  help  us\nmy  friends  help,pos
cheap  politics  felt  deeply  didnt  went  receive  hero,neg
fear  says  accuses  opposition,neg
"b ""jagan  mohan  reddy  aims  stop  development  amaravati  andhra  pradesh  dont  judge",neg
"b ""jagan  mohan  reddy  aims  stop  development  amaravati  andhra  pradesh  dont  judge",neg
"b ""jagan  mohan  reddy  aims  stop  development  amaravati  andhra  pradesh  dont  judge",neg
bcoments  kuda  choostunara  chandra  babu  garu\nu  think  respect  left  people  laugh,pos
bplease  help  us\nmy  friends  help,pos
hope  tdp  form  government  time  good  majority,pos
cm  questioned  modi  absence  naidu  said,neg
government  always  dedicated  providing  best  possible  service  youth  good  news,pos
huge  honour  role  honorable  cheif  minister  andhrapradesh  nara  chandrababunaidu  garu,pos
really  ashamed  say  man  native  state  cm  oh  god  plz,neg
cm  questioned  modi  absence  naidu  said,neg
bwe  asking  anything  extra  demanding  honourable  prime  minister  promised,pos
crisp  clear  anf  point  pain  loosing  ycp  votes,neg
tdp  grid  sketch  \nto  get  anti  tdp  voters  removed  voters  list  ap,neg
tdp  stolen  data  delete  ycp  votes  proof  ycp,neg
using  state  police  intelligence  officers  people  favour,pos
using  state  police  intelligence  officers  people  favour,pos
nice  sunday  everyone,pos
blets  release  series  videos  buying  kind  negative  videos,neg
last  cm  nara  family  soon  going  go  history  books  corrupt  shameless,neg
every  one  waiting  ec  announce  election  scheduletime  cut  powers  babys,neg
change  atm  pins  else  babu  loots  money  like  andhra  pradesh,pos
like  complaint  citing  duplicate  votes  votes,pos
ys  jagan  hard  settle  anything  less  ap  special  category  status,pos
gaaru  right  criticize  ysrcp  president  mp  bcz,neg
illegally  sold  crore  ap  citizens  aadhar  data  deleted  lakhs  ap  voters\n\nwhy  hiding,neg
bys  jagan  hard  settle  anything  less  ap  special  category  status,pos
"someone  hash  tag   ""mental  distress ""  chandrababu  happens",neg
twitter  handles  involved  scam  &amp  paid  blame  ts  govt  malicious  campaign,neg
bhave  nice  sunday  everyone,pos
head  hero,pos
naidu  became  laughing  stock  trying  trend  hashtag,pos
know  blames  others  caught  red  handed  \n\nwho  cbn  hand  personal  data,pos
data  includes  color  photo  aadhar  number  phone  number  caste  religion,pos
universal  fact  blames  others  whenever  hes  caught  red  handed\n\nwho  cbn  give  personal,neg
people  mistake  file  case  telangana  high  behalf  ap,neg
yes  thief  dad  selfgoal,neg
alias  atleast  open  ur  eyes  ur  friend  dark  leaked,pos
"said  seva  mitra  app  pai  servers  amazon  servicescan  keep  eye  sir """,pos
accusing  given  complaint  govt,neg
evil  &amp  stolen  andhra  people  data  sit  chief  stephen  ravindra  confirmed  press,neg
bdear  tired  yellow  media  channels  everyone  know  grids  stolen  ap,neg
real  thief  data,neg
know  blames  others  caught  red  handed  \n\nwho  cbn  hand,pos
screwing,neg
universal  fact  blames  others  whenever  hes  caught  red  handed\n\nwho  cbn  give,neg
shameless  coverupwho  removed  ysrcp  votes  ap  grids  ashok,neg
bchange  atm  pins  else  babu  loots  money  like  andhra  pradesh,pos
band  trump  helping  bjp  kim  jongun\ninkem  pani  leda  janalaki  nuvvu  cheppe  sodi,pos
bsivaji  kept  underplaying  serious  data  theft  conspiracy  people  behind  claiming  plot,neg
either  ur  account  hacked  whatever  even  know,neg
head  hero,pos
bthe  twitter  handles  involved  scam  &amp  paid  blame  ts  govt  malicious,neg
bhow  many  trusting  ap  police  cit  vote  goes,pos
scam  cbn  threat  ap  citizens  privacy  (  &amp  voters  deletion)  also  gave  bad,neg
whistleblower  thummala  lokeshwar  reddy  lodged  data  breach  complaint  tdpengaged  firms  ap,neg
shud  stop  bringing  petty  actors  community  rub  people  instead  ask,neg
divala  state  evarido  andariki  thelusu  many  farmers  loans  cleared,pos
politician  want  hear  tat,pos
yes,pos
exclusive  video  briefed,pos
karem  shivaaji  live  press  meet  deviated  topic  frm  provoking,neg
"b ""stole  peoples  data  crime  people  feel  less  secure  losing  personal  data  especially  things",neg
career  continued  skills  formats  cheating,neg
"\n\nwe  demanding  immediately  file  criminal  cases  idiots\n\nthis  time  dont  compromise\nwe  want  return  gift """,neg
bevil  &amp  stolen  andhra  people  data  sit  chief  stephen  ravindra  confirmed  press,neg
update  offcial  website  (  )  closed  hiding  \n\n,neg
ration  card  numbers  ap  total  number  families  andhra  pradesh  feeding,pos
forget  new  ones  even  existing  industries  closing  one  one  uttara,neg
filing  complaint  cyber  police  data  theft,neg
"b ""guys  fake  account  tdp  fake  handle  \n\nsuch  shame  tdp  using  womens  name",neg
gone  mad  see  statements  giving,neg
bwill  ncbn  accept  enquiry  case  \nno  \nif  yes  \nwhat  going  happen  future  tdp  \nderecognise  dissolve,pos
bsecurity  intelligence  personal  stopping  speaking  scam  \n\nthis  man,neg
addressing  print  &amp  electronic  media  filing  complaint  data  theft  cyber  crime  police  cyberabad,neg
missing  exchequer  money,neg
tdps  gone  verified  accounts  caught  redhanded  tweeting  favour,pos
fellow  gone  mad,neg
aadhar  data  theft  cbn  blaming  telangana  government  caught  red  handedly\nand,neg
evil  fake  campaign  exposed,neg
frustration  public  make  vedios,neg
frustration  public  make  vedios,neg
election  commission  india  allow  people  vote,pos
clean  still  stays  name  different,pos
people  havent  done  anything  wrong  shutdown,pos
garu  fake  tweets  &amp  ur  putting,neg
tdp  scam  busted  company  takes  data  analyses  removes  selected  candidates  voter  list\n\nif,neg
personal  data  stealth  please,pos
ap  dgp  acting  crime  cbn\n\ndeployed  ap  police  snoop  &amp  distribute  money  ts  elections\n\n,neg
good  morning,pos
thank  cm  sir\nyou  gave  new  definition,pos
fake  \nno  one  better  creating  fake  things  like  creating  amaravathi  powerpoint,pos
anna  tv  live  debate  well  said  real  fact,pos
bfake  \nno  one  better  creating  fake  things  like  creating  amaravathi,pos
filing  case  jagan  anything  wrong  \n\ndrama  cbn  fly  cbn  making,neg
central  agency  launched  probe\n\nhope  modibjp  save,pos
choose  wisely  choose  best,pos
scam  exposed,neg
please  dont  spread  imrankhans  allegations  here\nfirst  clarify  itgrid  company  holding  ap  complete,pos
bevil  fake  campaign  exposed,neg
garu  fake  tweets  &amp  ur  putting,neg
scam  cbn  threat  ap  citizens  privacy  (  &amp  voters  deletion)  also,neg
people  havent  done  anything  wrong  shutdown,pos
dear  know  popularity,pos
staring  huge  defeat(  end  career)  loyal  turn  approver  cash,pos
tv  probably  coz  week  increase  due  kaushal  army  exposing  kaushal  biggest,pos
new  video(full)  man  sebastian  seen  telling  mla  stephenson  chandrababu  agreed  give,pos
