text,class
bwe  blown  trumpets  battle  on\n\nthe  truth  always  stronger  people  stand  fight,neg
bandhra  see  new  dawn  andhrites  longer  tolerate  oppressive  divisive  corrupt  lying,neg
brule  regime  people  disastrous  policies  unplanned  acquisitions  created  hatred,neg
bwe  seen  historically  truth  obscured  never  lose  compulsive  congenital,pos
dont  want  trust  anybody  already  lost  years  coverage,neg
"b ""ill  happy  seats  tdp  ysrcp  given  people  cases",pos
bhow  desperate  meeting  empty,neg
ok  sir  still  working  social  media  group  tq  sir,pos
"getting  sets  get  next  sets  also  dont  give  chance  bubu  fit  cm  one  worste  fellow """,pos
dream  become  possible  meeting  proved  crowds,pos
yes  sir  ut  true,pos
"b ""lets  bring  back  welfare  development  era  ray  hope",pos
malli  meray  cm  sir  best  cbn  sir,pos
wishing  happy  th,pos
yes  sir,pos
tdp  workers  next  days  month  crucial  andhra  pradesh  &amp  india  fight  corrupt  leading  highly  insecure,neg
vote  fan,pos
want  change  entire  police  system,pos
best  luck  anna,pos
political  win  elections  welfare  ap  people  \n\nretweet,pos
waiting  hilarious,pos
like  fatheru  father  polavarm  project  want  complete,pos
hope  fair  elections  happen  change  happen  sir,pos
"sir  youre  great  leader  india """,pos
cm  cyber  criminal  mastermining  data  theft  involving  citizens  personal  information,neg
hey  running  news  channels  seen  saying  bring  corruption  free,pos
bthanks  place  edaina  reason  edaina  peru  chepagane  vache  response  mass  hysteria,neg
hope  also  win  like  power  true  leader  ap  much  needed,pos
status  attack  case  still  actions  culprits,neg
man  high  intension  serve  people  well  planned  welfarecommitment  dedicationcredibility  made,pos
ysrcp  sweeps  entire  yellow  batch  vote  fan,pos
bwho  best  cm  ap  elections,pos
hi  sir  name  prakash  want  youth  farmers  leading  said,pos
lagadapati  tried  take  people  ride  predicting  win  tdpcongress  combine  telangana  elections,pos
anna  please  give  mla  seat  thippareddy  madanapalle  please,pos
andhra  pradesh  cm  destroyed  every  single  institution,neg
sure  anna,pos
anna  fought  critical  conditions  also  dont  want  leave  leader,neg
elections  two  political  fight  credibility  fight,neg
please  meetings,pos
anna  please  confirm  seat  ashok  babu  garu  kondapi  constituency,pos
india  tvcnx  opinion  poll  shows  crush  tdp  time  mps  become  strongest,pos
cbn  matter  sure  andhra  develops  selfless  good,pos
"b ""my  dear  leaders  getting  position  would  teachers",pos
govt  schemes  like  pradhan  mantri  fasal  bima  yojana  &amp  soil  health  card  along  initiatives,pos
april  th\nvote  fan,pos
"wait  see  dont  forget   """,pos
respected  andhra  people  please  vote  fan  fan  fan  fan,pos
jagan  laksha  kotlu  dochukunadu  nevey  cheppavu  marla  help  cheyadam  emiti  talking,pos
dream  become  possible  kakinada  meeting  proved  crowds,pos
hope  come  andhra  next  cm,pos
ru  combined  kcr  true  done  ru  blaming  cbn  theif  main  theif  ur,neg
seen  chandrababu  naidu  shifting  stand  issues  past  years  assure  navaratnas,pos
please  inject  deeply  going  pension  scheme\nmany  people  aware  pension  going,pos
sir  feeling  like  every  body  done  past\n\nfrom  years  sold  ap  mla  &amp,pos
beautifully  fabricated  lies,pos
"b ""cm  cyber  criminal  mastermining  data  theft  involving  citizens  personal  information",neg
dream  become  possible  kakinada  meeting  proved  crowds,pos
dream  become  possible  meeting  proved  crowds,pos
kcr  jagan  batch  sheeps  like  ts  pp  yellow  army,pos
bwithout  self  respect  sir  went  kcr  money  tried  sell,pos
bcorrupters  like  cant  even  deserve  opposition  leader  dreaming  cm\n,pos
failed  every  aspect\nnow  even  people  stopped  believing  him\n,neg
bhow  desperate  meeting  empty,neg
bthe  man  high  intension  serve  people  well  planned  welfarecommitment  dedicationcredibility,pos
sure  sir  definitely  utilize  cast  vote  provided  one  submitted  form  us,pos
haha  joker  wants  turn  real  one,pos
hard  work  \ncredibility  \ncharacter  \ncommitment  \nwaiting  anna  era,neg
yes  people  ysrcp,pos
good  luck  elections,pos
vote  fan,pos
vote  fan,pos
anna  satish  reddy  california  usa  please  get  communication  email  id,pos
bhow  desperate  meeting  empty,neg
every  single  family  ap  discuss  betrayal  promises  made  corrupt  regime,neg
loanwaiverk  matram  announce  cheyam  anthe  ga  anna  farmers  confused  vote,neg
tdp  video  title  wrong  devineni  cousins  son  devineni,neg
bhow  desperate  conducting  meeting  empty,neg
cm  cyber  criminal  mastermining  data  theft  involving  citizens  personal  information,neg
election  notification  would  send  death  knell  tdp  failed  core  promises  providing  jobs,neg
showing  cruelty  mind,neg
ap  needs  special  category  status  ap  needs  big  bargainer,pos
bitches  gathered,neg
employment  winning  jai  jagan,pos
bha  ha  dedicated  sir  merento  google  kuda  thelusipoindhi,pos
future  future  wise,pos
fair  sound  good  ur  side,pos
cr  deposited  farmers  accounts  last  phase(  th  &amp  th  phase)  govt  fulfilled,pos
"sir  doubt  next  cm  god  andhra  peoples  blessings  jai  jagan """,pos
section  media  parrots  lies,neg
andhra  cm  betrayed  every  single  social  group,neg
cm  desperately  trying  delete  names  voters  electoral  rolls  nominated  offender,neg
people  ap  wary  lagadapatis  fake  surveys  yellow  media  campaign,neg
special  year  year\npolling  date  \nso  success,pos
sure  sir  \nthank  sir,pos
cleared  ap  govt  clean  chit  case  slams,pos
need  take  necessary  action  issue  fan  ex  cm  want  become,pos
high  time  interacts  often  media  special  interviews  reach  maximum  people  public,pos
dear  sir  self  vamsi  kanth  reddy  guntur  sir  courier  business  guntur  noticed,pos
dear  garu  \n\nis  true  co  investing  heavy  rig  ap  polls  like  allegedly  tg  elexn,pos
jai  jagan  anna  thanks  yeswath,pos
ysrcp  ensure  transparent  governance,pos
controversial  comments,neg
jagan  field  petition  high  ban  helicopter  symbol  rejected,neg
jagan  field  petition  high  ban  helicopter  symbol  rejected  plea,neg
bfor  better  future  bring  back  golden  era  ysr,pos
banned  helicopter,neg
please  attacking  mode  chey  inka,neg
bvery  special  year  year\npolling  date  \nso  success,pos
hi  sir  iam  delhi  ncr  vote  andhra  could  vote  mandatory  come,pos
cm  betrayed  farmers  name  loan  waivers,neg
best  garu  andhra  pradesh,pos
sure  elect  great  leader,pos
okay  anna,pos
antha  ledule  want  tdp  free  andhra  vote  jagan,pos
ysjagan  anna  reached  venue,pos
yes  anna  coming,pos
good  joke\n\nwhere  tdp  votes  already  deleting  using  form  illegally  ysrcp\n\nmalli  deniki  fair  etc,pos
edge  win  anna  always  believe  favour  public  genuinely,pos
vote  fan  sir,pos
dear  \n\ndont  loop  ap  bloody  plots  ap  shake  hand  big  nose  family,pos
jai  jagan  fight,neg
"b ""once  breaking  news  scrolled  regarding  women  harassment",neg
polavaram  project  progress  beyond  foundation  stones,pos
sir  ur  inspiration  young  youth  jay  ho  sikkolu  muddu  bidda,pos
respected  sir  please  tell  runamafi  farmers  rupees  acer  farmers\n\nthanking,pos
bwe  seen  chandrababu  naidu  shifting  stand  issues  past  years  assure,pos
meeru  free  medical  free  education  every  citizen  ani  cheppandi  sir  anni  votes  meeke  guddu,pos
note  thief  nuvve  vote  thief  bayata  tiragadam  democracy  ki  muppuafter,neg
well  said  sir,pos
bthe  election  notification  would  send  death  knell  tdp  failed  core  promises  providing  jobs,neg
bdear  garu  \n\nis  true  co  investing  heavy  rig  ap  polls  like  allegedly  tg,pos
bandhra  pradesh  cm  destroyed  every  single  institution,neg
dear  &amp  gang  \n\ni  appreciate  universal  data  safety  guts  please  take,pos
"b ""people  ap  wary  lagadapatis  fake  surveys  yellow  media  campaign",neg
bcos  frank  successfully  recognized  social  segments,pos
blagadapati  tried  take  people  ride  predicting  win  tdpcongress  combine  telangana,pos
bdear  &amp  gang  \n\ni  appreciate  universal  data  safety  guts  please,pos
"b ""there  section  media  parrots  lies",neg
pleasure  sir  coming  cm  sir  safe  ap,pos
hope  got  banned  shame,neg
also  fight  tdp,neg
ok  brothersure  vote  fan,pos
bandhra  cm  betrayed  every  single  social  group,neg
belections  two  political  fight  credibility  fight,neg
bcm  desperately  trying  delete  names  voters  electoral  rolls  nominated  offender,neg
time  change  dps  social  media  campaign  restore  golden  era  \n\nhd,pos
goosebumps  garunteed  \nthat  roar  crowd  \n\nplace  may  change  craze  never,neg
heres  awaited  cdp  social  media  election  campaign  \n\nhd,neg
best  anna,pos
bvote  fan,pos
sir  jagan  guided  like,pos
bvote  fan,pos
bvote  fan,pos
bvote  fan,pos
beware  yellow  media  lagadapati  fake  surveys,neg
bbjp  channel  survey  clearly  showing  sharp  fall  ysrcp  one  month  period,pos
garu  giving  mla  ticket  muslim  candidate,pos
"b ""cm  cyber  criminal  mastermining  data  theft  involving  citizens  personal  information",neg
bpolavaram  project  progress  beyond  foundation  stones,pos
bkind  request  side  ever  want  decision  praise  one,pos
try  convince  make  alliance,pos
bbeware  yellow  media  lagadapati  fake  surveys,neg
bvoting  jagan  like  voting  kcr  ||  ||  ||,pos
time  rage  tag  celebrate  jananetha  th,pos
bcm  pledging  interest  state  selfish  ends  urge  workers  educated,neg
bevery  single  family  ap  discuss  betrayal  promises  made  corrupt,neg
bysrcp  ensure  transparent  governance,pos
bcm  betrayed  farmers  name  loan  waivers,neg
byou  stood  like  rock  past  nine  years,pos
brajanna  rajyam  alone  usher  welfare  governance,neg
bcorrupt  tdp  buried  good,pos
guess  winning,pos
"im  praying  god  definitely  win  best """,pos
anyway  best  second,pos
enroll  ensurewhile  make  sure  get,pos
well  tdp  interested  kg  districts  never  care  uttarandhra,pos
"b ""ys  jagan  described  chandrababu  cyber  criminal  masterminding  data  theft  involving  citizens  personal",neg
jagan  garu  careful  friends  already  many  people  ditch  whatever  pretending  fraud,pos
best  anna  vote,pos
byreddy  reddy  oora  mass  leader  avthaadu  years  age  lo  ah  speeches  clarity  issues  kurnool,pos
antha  ledule  want  tdp  free  andhra  vote  jagan,pos
sir  please  rise  voice  agri  gold  akshya  gold  scam  people  lost  money,neg
sir  definitely  check,pos
dear  ap  peoples  \nplease  dont  confusion  ap  ne  abhivrudhi  chayyani  govtoka,pos
compare  hard  work  done  cbn  development  new  state,neg
controversial  comments  pawan  kalyan  election  appeal,neg
nexus  clearly  established  vote,pos
super,pos
best  luck  jagan  anna\nvote  fan\njii  jagan,pos
like  jagan  \nretweet  ktr\n,pos
please  stop  nonsense  allegations  want  know  development  strategies,neg
already  strongly  decided  vote  waiting  counting,pos
fake  news  spread  cheyadam  lo,neg
message  giving,pos
amanchi  krishna  mohan  mla  contestant  ysrcp  chirala  people  wl  free  fair  elections  anna,pos
ok  sir\nwishing  congrats  advance  sir,pos
anna  win  elections  bring  rajanna  rajyam  anna  eagerly  expecting,pos
get  ready  narasura  vadha  th  april,pos
sir  please  look  forward  issue,pos
vote  fan,pos
tributes  sri  potti  sriramulugaru  whose  willpower  determination  realised  state  andhra  pradesh,pos
bi  win  mp  &ampmla  seats  cleanship  andrapradesh  want  ofap\nthumma  mallesh  (sama,pos
anna  dreams  two  anna  one  became  cm  second  one  became  government  job  holder,pos
nothing  wrong  submitting,pos
want  ys  jagan  anna  cm  ap,pos
cbn  ran  oppressive  regime  treated  people  enemies  ysrcp  usher  new  govt  leadership,neg
news  going  viral  giving  special  status  ap,pos
ysr  congress  led  would  win  lok  sabha  seats  (out  total  )  andhra  pradesh,pos
please  provide  online  centre  mandal  centre  check  vote  free  cost  members,pos
ap  never  power  deficit  statewe  capable  giving  power  \nplease  retire,pos
chance  ye  ledhu  alone  gonna  clean  sweep  thos  time,pos
shame  mr  never  assembly  yrs  getting  ready,neg
anna  say  thanks  election  commission\nvoting  day  th  aprilwhich  thursday\nso  vote  go,pos
yes  sir,pos
jagan  sir  dont  give  mla  ticket  anna  ram  babu  bloody  cheater  think,neg
ap  never  power  deficit  statewe  capable  giving  power  \nplease,pos
rip  prasanth  miss,neg
sure  bro  ready  fight  cbn  april,pos
crisp  clear  anf  point  pain  loosing  ycp  votes,neg
jumping  leaders  ki  ground  level  ardam  ayindi  sari  aa  ani  winning  ani,pos
youre  fighting  save  pappus  career  cbns  crimes,pos
anna  please  send  cadre  every  house  let  check  instantly  vote  availability  &amp,pos
candidates  criminal  antecedents  declare  cases  occasions  newspapers  cec\n\narey  mee,neg
best  garu  future  role  leader  opposition  hope  grace  swearingin  ceremony,pos
please  cooperate  btech  students  jagan  sir,pos
best  mr  naidu  garu,pos
joke  year,pos
love  anayou  true  leaderall  lechi  povali  fan  speed  ki,pos
bhigh  chances  people  around  eat  money  guess  select  good  people  else  history  repeat,pos
hard  bargainer\n\nthe  leader  opposition  andhra  pradesh  assembly  declared,neg
overall  wellbeing  siciety  going  take  care  every  aspect  women  safety  housing,pos
"please  dont  waste  time """,pos
jai  jagan  anna  god  blessed  brother\n  deserved  cm  ap,pos
wish,pos
telugu  speaking  people  loves  mr  ali  garu  happy  take  good  decision,pos
please  save  land  narasimhulu,pos
jagan  ap  cm  \nits  damm  sure,pos
nice  kuy  kyu  kuy  sound  kakainada  sankaravam  good  also  nice  speech  tdp  like  speech  today,pos
elected  young  dynamic  leader  days  young  cm,pos
bysjagan  anna  reached  venue,pos
bif  time  limited  would  rather  choose  vehicle  bus  reach  tribal  villages,neg
bysr  congress  led  would  win  lok  sabha  seats  (out  total  )  andhra,pos
per  prediction\n\nnda  \nupa  \nother  \naap  \n\nwill  lose  deposit  seats,neg
reflection  widespread  acceptance,pos
ys  jagan  clean  person  friend  politicians  corrupt,pos
promised  taking  break  job  spend  time  campaigning  namo  bjp  give  entire  time,pos
"b ""it  reflection  widespread  acceptance",pos
magunta  win  mp  ongole  joins  ysrcp,pos
ysrcp  kakinada  samara  sankharavam  (  election  kickoff  meeting  )  disappointing  attendance  terms  crowd  \n\nin,neg
bone  thing  sure\nif  lose  pretty  sure  end  one  longest  indian  political,pos
spoke  exclusively  india  todays  accusations  leveled  telugu  desam,neg
owaisi  says  trs  ysrcp  congress  post  election  \ni  think  \n\nif  congress  wins,pos
way  hell  trs  telangana  going,neg
wonder  ap  people  favouring  ysrcp  janasena  bjp  done  good,pos
"b ""veteran  telugu  comedian  actor  ali  joins  ysrcp  says  willing  contest  vijayawada  rajahmundry",pos
kkd  mp  ysrcp  candidate  neggali  candidate  hoping  best,pos
great  need  free  fair  elections  enroll  ensure  vote  april  th  polls  exercise,pos
bso  owaisi  says  trs  ysrcp  congress  post  election  \ni  think  \n\nif  congress  wins,pos
poor  family  naku  brathakalani  chala  asha  amma  anevadu,neg
poor  family  naku  brathakalani  chala  asha  amma  anevadu,neg
dear  sir  concern  ap  madakasira  constituency  ysrcp  base  level  nd  level  cader,pos
tdp&amp  ysrcp  openly  clear  stand  setting  nuclear  plants  uttaranandra  &amp,pos
bkkd  mp  ysrcp  candidate  neggali  candidate  hoping  best,pos
pawan  kalyan  poonam  panday  circulating  phone  recordings  absolutely  fake  \n\ncheap  publicity  ysrcp,neg
young  leaders  ram  mohan  naidu  &amp  vijay  chintakayala  surprised  everyone  oratory  skills\n\nnow,pos
bwhich  powerful  \nkaushal  army  effect  janasainiks  votes,pos
ground  level  anger  social  mediathen  ysrcp  touch,neg
young  leaders  ram  mohan  naidu  &amp  vijay  chintakayala  surprised  everyone  oratory  skills\n\nnow,pos
hyderabad  telugu  actor  comedian  ali  joins  ysrcp  presence  president  ys  jaganmohan  reddy,pos
still  fight  kohinoor  diamond  &amp  lord  balaji  pink  diamond  &amp  valuable  jewellery  missing  come,pos
entire  nation  closely  watchinghow  tdp  &amp  ysrcp  respond  ttd  jewels  robbery  issue  whoever  robbed,pos
think  trs  ysrcp  also  align  nda  pretty  openly,pos
wishing  brother  luck  political  journey,pos
bro  please  share  video  whatsapp  \nmy  number,pos
jagan  mohan  reddy  meeting  said  win  provide  navaranas  public  felt  provide,pos
bhas  blamed  yet  ali  joining,neg
ysrcp  yuvajana  sramika  rythu  congress  th  strongest  country,pos
bpeople  met  unanimously  told  win  timebut  gut  feeling  win,pos
yes  absolutely  director  namo  asst  director  kcr  ysrcp  child,pos
\ntadisetty  brothers  ysrcp  lo  join  ayithe  guntur  east  guntur,pos
\ntadisetty  brothers  ysrcp  lo  join  ayithe  guntur  east,pos
"btdp  leader  andhra  minister  spoke  extensively  said  sure   """,pos
sure  vote,pos
advised  ride  bicycle  drink  tea  hot  summer\n\nswitch  fan  leave  rest,pos
bif  &amp  alliance  would  worst  fans  &amp,neg
happy  scape  goat  list  swalloed  kcr  congress  ou,pos
ap  elections  \n\na  clear  choice  between\n\npeoples  leader  vs  peoples  cheater\n\ndevelopment  vs,pos
bysrcp  take  precautions  leakages  voting  one  thing  confidence  brings  loss,pos
disastrous  years  govt  lies  fools  ap  &amp  people  drop  hat  without  even  batting,neg
famous  telugu  comedian  ali  joined  ysrcp  today  likely  contest  elections,pos
using  police  embracing  extra  judicial  tactics  tdp  data  stolen  handed  ysrcp,neg
bts  people  always  want  peaceful  relations  neighbors  existing  ap  leadership  completely  working,pos
yes  sir\n\nand  best  sir\nmy  family  praying  \nand  take  care  campaign,pos
please  check  votes  deleted  recent  mess  days  remaining  register,neg
bi  wish  janasena  focus  strongly  selected  seats  mps  make  sure  candidates  strong,pos
\ntime  win  better  future  andhra,pos
\ntime  win  better  future  andhra,pos
\n\nget  ready  andhra  pradesh  new  era  welfare,pos
strengthen  aarogyasri  programme  clearing  debts  hospitals  man  house  suffering,neg
bhayya  indulo  except  vijayawada  migatavi  doubt  bhayya  seats  much  negativity,neg
winning  time,pos
bhayya  indulo  except  vijayawada  migatavi  doubt  bhayya  seats  much,neg
ysrcp  front  foot  \n\ntdp  gain  slightlt,pos
"telangana  friends  voted  trs  ts  assembly  elections  saying   ""ap  lo  cbn  malli  rakapothe   ""khatam """,pos
nice  onebut  edit\nboy  jana  sena  fans\negg  targeting  ysrcp\ntray  jana  sena,pos
came  darsi  annakosam  team  went  rajampalle  village  need  one  update  please  call,pos
"ball  telangana  friends  voted  trs  ts  assembly  elections  saying   ""ap  lo  cbn  malli  rakapothe",pos
thats  probably  true  doesnt  explain  genuine  fan  ntr,pos
huge  difference  tdp  ysrcp  january  tdp  ahead  ysrcp,pos
fight  untundhi  btw  jsp  ysrcp  antunna  anthe,neg
bysrcp  kakinada  samara  sankharavam  (  election  kickoff  meeting  )  disappointing  attendance  terms,neg
hoping  ysrcp  listen  shift  tdp,pos
guntur  west  former  mla  thadishetty  venkat  rao  join  ysrcp,pos
bwishing  brother  luck  political  journey,pos
finally  repiblic  tv  showing  survey  tdp&gt  ysrcp  much  add  tdp  please,pos
bgiving  big  jolt  noted  comedian  ali  joined,pos
bhowmany  times  join,pos
guntur  west  former  mla  thadishetty  venkat  rao  join,pos
"b ""i  bigger  disagreements  indias  fraudsecularists  (congressspbspjdujdstdpysrcpncp)  treating",neg
inner  feeling,pos
bpopular  actor  &amp  comedian  ali  joins  today,pos
bpopular  actor  &amp  comedian  ali  joins  today,pos
hyderabad  telugu  actor  comedian  ali  joins  ysrcp  presence  president  ys  jaganmohan  reddy\n\n(news  agency,pos
bjana  sena  headed  actor  pawan  kalyan  lagging  way  behind,neg
political  heat  andhra  \nthe  main  fight  tdp  ysrcp  \ntough  fight  cake  walk,neg
needs  keep  old  friends  close  like  bihar  maharashtra  also  needs  strong  alliance  states,pos
dear  sir  voter  ids  removed  conformed  many  people,pos
ball  ysrcp  mp  seats  addition  kcr  ysrcp  reduced  zero\nap  vote  wisely,pos
fake,neg
\n\nsince  personal  analysis  andra  pradesh  &amp  shared  results  regular,pos
bali  joins  ysrcp  |  comedian  ali  speaks  media  joining  ycp  |  via,pos
sir  please  think  \nkurupam  constituency  ysrcp  candidates  celebrating  \nbecause,pos
bbhai  actually  mr  owaisi  want  bjp  centre  bus  trs  ysrcp  toh  aaisay  hi  badnaam  hai,pos
bwow  shake  raj  leg  dance,neg
kurupam  constituency  ysrcp  candidate  celebrating  janardhan  thatraj  chosen  tdp,pos
serious  ap  ceo  gopalakrishna  scrutinised  lakh  voter  deletion,neg
still  remains  seen  extend  data  theft  scam  would  impact  upcoming,neg
bit  still  remains  seen  extend  data  theft  scam  would  impact  upcoming,neg
bit  reaction  antiincumbency  prevalent  everywhere  supremo  perhaps,pos
"b ""andhra  pradesh  chief  minister  uturns  politics  deception  created  tidal  wave  resentment",neg
contest  andhra  directly  ysrcp  anyhow  trs  dangerous,neg
comedian  friend  joined,pos
btdp  mp  wife  assured  ysrcp  tickets,pos
today  got  call  ysrcp  office  mob  never  required  callspls  stop,pos
"b ""ys  jagan  welcomed  ali  ysrcp  formers  residence  hyderabad",pos
bveteran  telugu  comedian  actor  ali  joins  ysrcp  says  contest  vijayawada,pos
bpolitical  heat  andhra  \nthe  main  fight  tdp  ysrcp  \ntough  fight  cake  walk,neg
ready  sir\nall  ysrcp  young  stars  every  time  think  coming  elections,pos
santhiramudu  president  ap  private  engineering  colleges  management  association  released  press  statement  condemn,neg
bformer  apiic  chairman  shivarama  subramanyam  joins  ysrcp  watch  exclusive  &gt,pos
comedy  joined  today\nhe  met  lotus  pond,pos
true  nature  ysrcp  leaders  people  killed  ysr  cm  bjp  want  tie,neg
btelugu  comedian  ali  joined  monday  presence  president,pos
gives  big  shock  joins  tollywood  video  channel,neg
gives  big  shock  joins  tollywood  video  channel,neg
gives  big  shock  joins  tollywood  video  channel,neg
advised  ride  bicycle  drink  tea  hot  summer\n\nswitch  fan  leave  rest,pos
bveteran  telugu  comedian  actor  ali  joined  ysr  congress  (ysrcp),pos
\n\nanother  big  shock  tdp  |  mp  thota  narasimham  join,neg
welcome  ysrcp  family,pos
bysrcp  leader  shekar  reddy  speech  |  bc  garjana  |  watch  exclusive  &gt,pos
nothing  wrong  infact  actual  figure  may  tdp  ysrcp  pin  tweet,pos
"b ""ali  garu  please  correct  ur  words  talking  jagan  didnt  dun",pos
mercy  working  hrs  coming  hurdles,pos
bys  jagan  accepting  defeat  election,neg
actor  however  remains  indecisive  plans  contest,neg
atleast  jagan  heard  problem  cbn  ktr  othersdidnt  reply  understand  problem  jagan,neg
"b ""ali  garu  pls  correct  ur  words  speking  jagan  didnt  dun  know",pos
"b ""veteran  telugu  comedian  actor  ali  joins  says  \willing  contest",pos
dont  forget  give  vote  ysrcp,pos
bmake  sure  everyone  spreading  ideology  janasena  mainfesto  janasena  public  buy,pos
"b ""we  want  join  ysrcp\nwe  means  half  villagers """,pos
bthe  actor  however  remains  indecisive  plans  contest,neg
within  days  ysrcp  seat  share  fell  congress  vote  share  joke  wont,pos
best  elections\n\ndefinitely  win  elections  doubt,pos
ba  sought  actorcomedian  ali  tollywood  finally  made  mind  join  ysr  congress  may,pos
btdp  list  east  godavari  looks  like  mr  thota  moving  ysrcp  (sources),pos
yes  people  missing  )  ysrcp  performance  interesting  see,pos
yes  people  missing  )  ysrcp  performance  interesting  see,pos
bthe  biggest  loser  elections,neg
"b ""ali  dont  put  ur  self  giving  cheap  &amp  stupid  statementsall  respect  live  thatu",pos
official\n\nmagunta  srinivasulu  reddy  resign  tdp  join  ysrcp,neg
btollywood  comedian  ali  joins  ysrcp  may  contest  deccan  herald,pos
ap  youthful  sincere  restless  politician,pos
couple  weeks  back  said  looking  one  sided  played  safe  revealing,pos
\none  thing  already  blocked  person  another  account  deviating  analysis,pos
\none  thing  already  blocked  person  another  account  deviating,pos
make  bjp  relevant  elections  ap  bjp  leaders  promise  populist  schemes,pos
"b ""it  advised  ride  bicycle  drink  tea  hot  summer\n\nswitch  fan  leave  rest",pos
nothing  matter,neg
gonna  win  time,pos
voter  quiz  ()\nafter  declaration  results  constituencies  authority  constitute,pos
pls  vote  ysrcp,pos
early  elections  evarki  advantage,pos
bwho  win  time  andhra  election,pos
time  people  andhra  pradesh  ready  give  minimum  seats  disturbed  sense,neg
bthis  time  people  andhra  pradesh  ready  give  minimum  seats  disturbed,neg
congratulations  \nanna  \nmy  family  votes  friends  votes  anna  \nall  votes  ysrcp  onely  \njai  ysr  jai  jagan,pos
total  ap  clean  swipe  ysrcp  jagan  anna,pos
taste  everything  beautiful  rallies  houses,pos
elections  ap  get  good  government  (ysrcp)  farmers  govt  jai  ysr,pos
spoken  local  cadre  tdp  ysrcp  janasena\n\nall  said  shocked  came  know,neg
bdear  ali  garu  congrats  joining  ysrcp,pos
never  vote  tdp  (unless  ntr  )  looking  election  obvious  choice  worked  hard  &amp,neg
kakinada  youth  ready  create  new  sensation  kakinada,pos
bandhra  famous  comedian  ali  joined  ysr  congress  presence  ysrcp  chief  jagan  reddy  &amp  contest,pos
"b ""will  never  vote  tdp  (unless  ntr  )  looking  election  obvious  choice  worked  hard  &amp",neg
